# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	24. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	L
# Flight type and number:	Free Flight 9
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
3944821	2992.0033	1849.4807	74.9457	1.7554	-4.6147	69.4719	0.0000	0.0000	0.0000	1
3944841	2992.3544	1848.5578	88.8401	1.7051	-4.8023	70.8893	0.0969	-4.3208	46.9697	0
3944860	2992.6683	1847.6078	102.5926	1.3521	-4.6185	64.9236	-3.6541	5.5765	-100.9423	1
3944880	2992.8817	1846.7565	114.1603	0.7253	-3.7500	48.6681	-3.3997	4.6601	-87.2310	1
3944900	2992.9585	1846.1078	122.0598	0.0828	-2.6820	30.3111	-3.2449	6.1614	-100.3644	1
3944920	2992.9149	1845.6837	126.2847	-0.3879	-1.6815	14.8678	-1.6723	4.3956	-62.5014	1
3944940	2992.8033	1845.4352	128.0069	-0.5968	-0.9596	5.7043	-0.2594	2.5858	-25.0374	1
3944960	2992.6761	1845.2999	128.5664	-0.6035	-0.4562	1.5698	0.3708	2.2478	-11.7486	1
3944980	2992.5619	1845.2527	128.6348	-0.5060	-0.0727	0.0470	0.7125	1.6418	-1.6417	1
3945000	2992.4737	1845.2708	128.5852	-0.3754	0.1854	-0.2332	0.6935	0.9739	0.6218	1
3945020	2992.4117	1845.3269	128.5416	-0.2660	0.3004	-0.2030	0.4363	0.1610	0.0390	1
3945040	2992.3674	1845.3910	128.5040	-0.1992	0.2875	-0.1755	0.2033	-0.4206	0.1445	1
3945060	2992.3321	1845.4419	128.4714	-0.1628	0.2145	-0.1505	0.1158	-0.4497	0.1150	1
3945080	2992.3022	1845.4768	128.4438	-0.1333	0.1552	-0.1224	0.1534	-0.1872	0.1615	1
3945100	2992.2788	1845.5040	128.4224	-0.0967	0.1383	-0.0928	0.2204	0.0484	0.1579	1
3945120	2992.2636	1845.5321	128.4067	-0.0556	0.1519	-0.0722	0.2086	0.1283	0.0668	1
3945140	2992.2565	1845.5647	128.3935	-0.0176	0.1737	-0.0700	0.1693	0.1218	-0.0496	0
3945160	2992.2565	1845.6016	128.3787	0.0176	0.1837	-0.0833	0.1688	0.0053	-0.1125	1
3945180	2992.2636	1845.6382	128.3602	0.0556	0.1682	-0.0967	0.2102	-0.1613	-0.0531	1
3945200	2992.2788	1845.6688	128.3400	0.0960	0.1276	-0.0945	0.2145	-0.2721	0.0714	1
3945220	2992.3020	1845.6893	128.3224	0.1291	0.0758	-0.0743	0.1339	-0.2771	0.1527	1
3945240	2992.3304	1845.6992	128.3103	0.1467	0.0285	-0.0470	0.0351	-0.1988	0.1443	1
3945260	2992.3606	1845.7007	128.3036	0.1516	-0.0117	-0.0257	-0.0042	-0.1835	0.0811	1
3945280	2992.3910	1845.6945	128.3000	0.1516	-0.0533	-0.0179	0.0041	-0.2247	0.0000	0
3945300	2992.4213	1845.6793	128.2964	0.1467	-0.0994	-0.0257	-0.0346	-0.2586	-0.0812	1
3945320	2992.4497	1845.6547	128.2897	0.1291	-0.1376	-0.0470	-0.1358	-0.1618	-0.1439	1
3945340	2992.4729	1845.6243	128.2776	0.0967	-0.1479	-0.0743	-0.2074	0.0330	-0.1542	0
3945360	2992.4884	1845.5956	128.2600	0.0590	-0.1174	-0.0940	-0.1950	0.2847	-0.0660	1
3945380	2992.4965	1845.5774	128.2400	0.0292	-0.0536	-0.0940	-0.1133	0.4036	0.0663	1
3945400	2992.5001	1845.5741	128.2224	0.0133	0.0167	-0.0743	-0.0421	0.3506	0.1527	0
3945420	2992.5018	1845.5840	128.2103	0.0111	0.0657	-0.0465	0.0208	0.1650	0.1494	1
3945440	2992.5045	1845.6004	128.2038	0.0228	0.0797	-0.0230	0.0896	-0.0410	0.0940	0
3945460	2992.5110	1845.6159	128.2011	0.0509	0.0675	-0.0089	0.1889	-0.1308	0.0418	1
3945480	2992.5249	1845.6274	128.2002	0.0958	0.0557	-0.0027	0.2734	-0.0392	0.0128	1
3945500	2992.5493	1845.6382	128.2000	0.1495	0.0721	-0.0006	0.2928	0.1830	0.0055	1
3945520	2992.5847	1845.6562	128.2000	0.1957	0.1259	0.0000	0.2009	0.3930	-0.0015	0
3945540	2992.6276	1845.6886	128.2000	0.2185	0.1951	0.0000	0.0342	0.3928	0.0004	1
3945560	2992.6721	1845.7343	128.2000	0.2137	0.2307	0.0000	-0.1044	0.0373	-0.0001	0
3945580	2992.7131	1845.7809	128.2000	0.1927	0.1963	0.0000	-0.1374	-0.4062	0.0000	1
3945600	2992.7491	1845.8128	128.2000	0.1716	0.1038	0.0000	-0.0851	-0.6132	-0.0000	0
3945620	2992.7817	1845.8224	128.2000	0.1565	0.0011	0.0000	-0.0494	-0.4942	0.0000	1
3945640	2992.8117	1845.8132	128.2000	0.1400	-0.0696	0.0000	-0.0966	-0.2178	-0.0000	0
3945660	2992.8377	1845.7946	128.2000	0.1133	-0.1022	0.0000	-0.1741	-0.0656	0.0000	1
3945680	2992.8570	1845.7724	128.2000	0.0779	-0.1159	0.0000	-0.2004	-0.0446	-0.0000	1
3945700	2992.8688	1845.7482	128.2000	0.0439	-0.1264	0.0000	-0.1549	-0.0544	0.0000	1
3945720	2992.8746	1845.7218	128.2000	0.0200	-0.1391	0.0000	-0.0863	-0.0695	0.0000	0
3945740	2992.8768	1845.6926	128.2000	0.0080	-0.1552	0.0000	-0.0275	-0.0982	-0.0000	1
3945760	2992.8778	1845.6598	128.2000	0.0055	-0.1699	0.0000	0.0046	-0.0726	0.0000	1
3945780	2992.8790	1845.6246	128.2000	0.0116	-0.1718	0.0000	0.0498	0.0404	-0.0000	0
3945800	2992.8824	1845.5911	128.2000	0.0288	-0.1552	0.0000	0.1186	0.1449	0.0000	1
3945820	2992.8906	1845.5625	128.2000	0.0583	-0.1313	0.0000	0.1872	0.1386	-0.0000	1
3945840	2992.9058	1845.5385	128.2000	0.0933	-0.1223	0.0000	0.1916	-0.0234	0.0000	0
3945860	2992.9279	1845.5136	128.2000	0.1179	-0.1396	0.0000	0.0833	-0.1757	-0.0001	1
3945880	2992.9529	1845.4827	128.2000	0.1179	-0.1708	0.0000	-0.0833	-0.1824	0.0005	1
3945900	2992.9750	1845.4453	128.2000	0.0933	-0.1935	0.0000	-0.1914	-0.0587	-0.0017	0
3945920	2992.9902	1845.4053	128.2000	0.0583	-0.2001	0.0000	-0.1878	0.0195	0.0064	1
3945940	2992.9983	1845.3653	128.2000	0.0290	-0.2029	-0.0031	-0.1164	-0.0182	-0.0239	1
3945960	2993.0018	1845.3241	128.1988	0.0124	-0.2160	-0.0182	-0.0465	-0.1198	-0.0943	0
3945980	2993.0033	1845.2789	128.1927	0.0077	-0.2344	-0.0676	0.0042	-0.1114	-0.3247	1
3946000	2993.0049	1845.2304	128.1717	0.0128	-0.2333	-0.1942	0.0457	0.0705	-0.8430	1
3946020	2993.0084	1845.1856	128.1150	0.0281	-0.1846	-0.4507	0.1058	0.3870	-1.6671	0
3946040	2993.0161	1845.1565	127.9915	0.0537	-0.0725	-0.8607	0.1560	0.7448	-2.5093	1
3946060	2993.0299	1845.1566	127.7707	0.0860	0.0954	-1.3790	0.1795	0.9956	-2.8757	1
3946080	2993.0505	1845.1947	127.4399	0.1183	0.2853	-1.8974	0.1564	0.9884	-2.5093	0
3946100	2993.0772	1845.2707	127.0118	0.1439	0.4515	-2.3074	0.1040	0.7265	-1.6671	0
3946120	2993.1081	1845.3753	126.5169	0.1599	0.5648	-2.5638	0.0526	0.4032	-0.8430	0
3946140	2993.1412	1845.4966	125.9863	0.1678	0.6246	-2.6905	0.0202	0.1599	-0.3247	0
3946160	2993.1752	1845.6251	125.4407	0.1709	0.6491	-2.7398	0.0059	0.0493	-0.0943	0
3946180	2993.2095	1845.7562	124.8903	0.1718	0.6572	-2.7550	0.0015	0.0167	-0.0239	0
3946200	2993.2439	1845.8880	124.3387	0.1720	0.6590	-2.7581	-0.0004	-0.0045	0.0064	0
3946220	2993.2783	1846.0198	123.7871	0.1720	0.6590	-2.7581	0.0001	0.0012	-0.0017	0
3946240	2993.3127	1846.1516	123.2355	0.1720	0.6590	-2.7581	-0.0000	-0.0003	0.0005	0
3946260	2993.3471	1846.2834	122.6839	0.1720	0.6590	-2.7581	0.0000	0.0001	-0.0001	0
3946280	2993.3815	1846.4152	122.1323	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946300	2993.4159	1846.5470	121.5806	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946320	2993.4503	1846.6788	121.0290	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946340	2993.4847	1846.8106	120.4774	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946360	2993.5191	1846.9424	119.9258	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946380	2993.5535	1847.0742	119.3742	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946400	2993.5879	1847.2061	118.8226	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946420	2993.6223	1847.3379	118.2710	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946440	2993.6567	1847.4697	117.7194	0.1720	0.6590	-2.7581	0.0000	-0.0000	-0.0000	0
3946460	2993.6911	1847.6015	117.1677	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946480	2993.7255	1847.7333	116.6161	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946500	2993.7599	1847.8651	116.0645	0.1720	0.6590	-2.7581	-0.0000	0.0000	-0.0000	0
3946520	2993.7943	1847.9969	115.5129	0.1720	0.6590	-2.7581	0.0000	-0.0000	0.0000	0
3946540	2993.8287	1848.1287	114.9613	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946560	2993.8631	1848.2605	114.4097	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946580	2993.8975	1848.3923	113.8581	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946600	2993.9319	1848.5241	113.3065	0.1720	0.6590	-2.7581	-0.0000	0.0000	-0.0000	0
3946620	2993.9663	1848.6559	112.7548	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946640	2994.0007	1848.7877	112.2032	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946660	2994.0351	1848.9195	111.6516	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946680	2994.0695	1849.0513	111.1000	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946700	2994.1039	1849.1831	110.5484	0.1720	0.6590	-2.7581	-0.0000	0.0000	-0.0000	0
3946720	2994.1383	1849.3149	109.9968	0.1720	0.6590	-2.7581	0.0000	-0.0000	0.0000	0
3946740	2994.1727	1849.4467	109.4452	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946760	2994.2071	1849.5785	108.8935	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946780	2994.2415	1849.7103	108.3419	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946800	2994.2759	1849.8421	107.7903	0.1720	0.6590	-2.7581	0.0000	-0.0000	-0.0000	0
3946820	2994.3103	1849.9739	107.2387	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946840	2994.3447	1850.1057	106.6871	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946860	2994.3791	1850.2375	106.1355	0.1720	0.6590	-2.7581	-0.0000	-0.0000	0.0000	0
3946880	2994.4134	1850.3693	105.5839	0.1720	0.6590	-2.7581	0.0000	0.0000	-0.0000	0
3946900	2994.4478	1850.5011	105.0323	0.1720	0.6590	-2.7581	0.0000	0.0000	0.0000	0
3946920	2994.4822	1850.6330	104.4806	0.1720	0.6590	-2.7581	-0.0000	-0.0000	-0.0000	0
3946940	2994.5166	1850.7648	103.9290	0.1720	0.6590	-2.7581	0.0000	0.0000	0.0000	0
3946960	2994.5510	1850.8966	103.3774	0.1720	0.6590	-2.7581	-0.0000	-0.0000	-0.0000	0
3946980	2994.5854	1851.0284	102.8258	0.1720	0.6590	-2.7581	0.0000	0.0000	0.0000	0
3947000	2994.6198	1851.1602	102.2742	0.1720	0.6590	-2.7581	-0.0000	-0.0000	-0.0000	0
3947020	2994.6542	1851.2920	101.7226	0.1720	0.6590	-2.7581	0.0000	0.0000	0.0000	0
3947040	2994.6886	1851.4238	101.1710	0.1720	0.6590	-2.7581	-0.0000	-0.0000	-0.0001	0
